"Plot Title: Hour4"
"#","Date Time, GMT-07:00","Intensity, Lux (LGR S/N: 1266540, SEN S/N: 1266540, LBL: light)","Max: Temperature, °C (LGR S/N: 1266540)","Min: Temperature, °C (LGR S/N: 1266540)","Avg: Temperature, °C (LGR S/N: 1266540)","Bad Battery (LGR S/N: 1266540)","Coupler Attached (LGR S/N: 1266540)","Host Connected (LGR S/N: 1266540)","Stopped (LGR S/N: 1266540)","End Of File (LGR S/N: 1266540)"
107,05/14/18 10:00:00 PM,0.0,14.613,14.613,14.613,,,,,
108,05/14/18 11:00:00 PM,0.0,14.230,14.230,14.230,,,,,
109,05/15/18 12:00:00 AM,0.0,13.942,13.942,13.942,,,,,
110,05/15/18 01:00:00 AM,0.0,13.654,13.654,13.654,,,,,
111,05/15/18 02:00:00 AM,0.0,13.461,13.461,13.461,,,,,
112,05/15/18 03:00:00 AM,0.0,13.269,13.269,13.269,,,,,
113,05/15/18 04:00:00 AM,0.0,13.076,13.076,13.076,,,,,
114,05/15/18 05:00:00 AM,0.0,12.883,12.883,12.883,,,,,
115,05/15/18 06:00:00 AM,0.0,12.690,12.690,12.690,,,,,
116,05/15/18 07:00:00 AM,32.3,12.690,12.690,12.690,,,,,
117,05/15/18 08:00:00 AM,64.6,12.690,12.690,12.690,,,,,
118,05/15/18 09:00:00 AM,86.1,12.690,12.690,12.690,,,,,
119,05/15/18 10:00:00 AM,129.2,12.883,12.883,12.883,,,,,
120,05/15/18 11:00:00 AM,430.6,13.269,13.269,13.269,,,,,
121,05/15/18 12:00:00 PM,258.3,13.365,13.365,13.365,,,,,
122,05/15/18 01:00:00 PM,495.1,13.750,13.750,13.750,,,,,
123,05/15/18 02:00:00 PM,366.0,13.942,13.942,13.942,,,,,
124,05/15/18 03:00:00 PM,1722.2,14.804,14.804,14.804,,,,,
125,05/15/18 04:00:00 PM,15844.5,16.141,16.141,16.141,,,,,
126,05/15/18 05:00:00 PM,602.8,16.237,16.237,16.237,,,,,
127,05/15/18 06:00:00 PM,387.5,16.046,16.046,16.046,,,,,
128,05/15/18 07:00:00 PM,86.1,15.760,15.760,15.760,,,,,
129,05/15/18 08:00:00 PM,21.5,15.473,15.473,15.473,,,,,
130,05/15/18 09:00:00 PM,0.0,15.187,15.187,15.187,,,,,
131,05/15/18 10:00:00 PM,0.0,14.900,14.900,14.900,,,,,
132,05/15/18 11:00:00 PM,0.0,14.517,14.517,14.517,,,,,
133,05/16/18 12:00:00 AM,0.0,14.230,14.230,14.230,,,,,
134,05/16/18 01:00:00 AM,0.0,13.942,13.942,13.942,,,,,
135,05/16/18 02:00:00 AM,0.0,13.750,13.750,13.750,,,,,
136,05/16/18 03:00:00 AM,0.0,13.461,13.461,13.461,,,,,
137,05/16/18 04:00:00 AM,0.0,13.269,13.269,13.269,,,,,
138,05/16/18 05:00:00 AM,0.0,13.173,13.173,13.173,,,,,
139,05/16/18 06:00:00 AM,0.0,12.980,12.980,12.980,,,,,
140,05/16/18 07:00:00 AM,43.1,12.787,12.787,12.787,,,,,
141,05/16/18 08:00:00 AM,172.2,12.690,12.690,12.690,,,,,
