"Plot Title: 20400734"
"#","Date Time, GMT-07:00","Temp, °C (LGR S/N: 20400734, SEN S/N: 20400734)","Intensity, Lux (LGR S/N: 20400734, SEN S/N: 20400734)","Coupler Attached (LGR S/N: 20400734)","Coupler Detached (LGR S/N: 20400734)","Host Connected (LGR S/N: 20400734)","Stopped (LGR S/N: 20400734)","End Of File (LGR S/N: 20400734)"
282,07/08/18 01:00:00 AM,0.121,0.0,,,,,
283,07/08/18 02:00:00 AM,0.121,0.0,,,,,
284,07/08/18 03:00:00 AM,-0.662,0.0,,,,,
285,07/08/18 04:00:00 AM,-1.001,0.0,,,,,
286,07/08/18 05:00:00 AM,-0.774,301.4,,,,,
287,07/08/18 06:00:00 AM,0.232,1377.8,,,,,
288,07/08/18 07:00:00 AM,7.481,18600.1,,,,,
289,07/08/18 08:00:00 AM,16.237,24800.2,,,,,
290,07/08/18 09:00:00 AM,19.567,26178.0,,,,,
291,07/08/18 10:00:00 AM,21.282,27555.7,,,,,
292,07/08/18 11:00:00 AM,20.234,30311.3,,,,,
293,07/08/18 12:00:00 PM,21.187,23422.4,,,,,
294,07/08/18 01:00:00 PM,20.138,22044.6,,,,,
295,07/08/18 02:00:00 PM,25.902,37200.2,,,,,
296,07/08/18 03:00:00 PM,20.615,22044.6,,,,,
297,07/08/18 04:00:00 PM,20.901,24800.2,,,,,
298,07/08/18 05:00:00 PM,21.473,27555.7,,,,,
299,07/08/18 06:00:00 PM,19.948,22044.6,,,,,
300,07/08/18 07:00:00 PM,23.581,31689.1,,,,,
301,07/08/18 08:00:00 PM,17.855,10333.4,,,,,
302,07/08/18 09:00:00 PM,10.846,613.5,,,,,
303,07/08/18 10:00:00 PM,6.573,0.0,,,,,
304,07/08/18 11:00:00 PM,4.831,0.0,,,,,
305,07/09/18 12:00:00 AM,3.788,0.0,,,,,
306,07/09/18 01:00:00 AM,4.415,0.0,,,,,
307,07/09/18 02:00:00 AM,3.261,0.0,,,,,
308,07/09/18 03:00:00 AM,3.155,0.0,,,,,
309,07/09/18 04:00:00 AM,3.472,0.0,,,,,
310,07/09/18 05:00:00 AM,5.860,495.1,,,,,
311,07/09/18 06:00:00 AM,7.381,3100.0,,,,,
312,07/09/18 07:00:00 AM,11.334,9300.1,,,,,
313,07/09/18 08:00:00 AM,15.091,13089.0,,,,,
314,07/09/18 09:00:00 AM,21.187,26178.0,,,,,
315,07/09/18 10:00:00 AM,20.138,27555.7,,,,,
316,07/09/18 11:00:00 AM,23.869,41333.6,,,,,
317,07/09/18 12:00:00 PM,23.869,31689.1,,,,,
318,07/09/18 01:00:00 PM,24.738,31689.1,,,,,
319,07/09/18 02:00:00 PM,28.655,38578.0,,,,,
320,07/09/18 03:00:00 PM,23.677,22044.6,,,,,
321,07/09/18 04:00:00 PM,26.195,49600.3,,,,,
322,07/09/18 05:00:00 PM,25.028,41333.6,,,,,
323,07/09/18 06:00:00 PM,20.901,13089.0,,,,,
324,07/09/18 07:00:00 PM,21.378,68889.3,,,,,
325,07/09/18 08:00:00 PM,16.141,10677.8,,,,,
326,07/09/18 09:00:00 PM,12.110,183.0,,,,,
327,07/09/18 10:00:00 PM,11.625,0.0,,,,,
328,07/09/18 11:00:00 PM,11.528,0.0,,,,,
329,07/10/18 12:00:00 AM,10.357,0.0,,,,,
330,07/10/18 01:00:00 AM,8.680,0.0,,,,,
331,07/10/18 02:00:00 AM,8.282,0.0,,,,,
332,07/10/18 03:00:00 AM,7.682,0.0,,,,,
333,07/10/18 04:00:00 AM,7.882,0.0,,,,,
334,07/10/18 05:00:00 AM,7.582,21.5,,,,,
335,07/10/18 06:00:00 AM,7.481,861.1,,,,,
336,07/10/18 07:00:00 AM,7.582,818.1,,,,,
337,07/10/18 08:00:00 AM,7.882,2583.4,,,,,
338,07/10/18 09:00:00 AM,8.879,9644.5,,,,,
339,07/10/18 10:00:00 AM,9.768,11022.3,,,,,
340,07/10/18 11:00:00 AM,8.779,7577.8,,,,,
341,07/10/18 12:00:00 PM,9.669,10677.8,,,,,
342,07/10/18 01:00:00 PM,13.461,24800.2,,,,,
343,07/10/18 02:00:00 PM,14.134,23422.4,,,,,
344,07/10/18 03:00:00 PM,15.951,30311.3,,,,,
345,07/10/18 04:00:00 PM,15.569,37200.2,,,,,
346,07/10/18 05:00:00 PM,14.517,12400.1,,,,,
347,07/10/18 06:00:00 PM,12.497,7577.8,,,,,
348,07/10/18 07:00:00 PM,11.625,4477.8,,,,,
349,07/10/18 08:00:00 PM,11.041,2927.8,,,,,
350,07/10/18 09:00:00 PM,9.176,247.6,,,,,
351,07/10/18 10:00:00 PM,7.582,0.0,,,,,
352,07/10/18 11:00:00 PM,4.311,0.0,,,,,
353,07/11/18 12:00:00 AM,2.410,0.0,,,,,
354,07/11/18 01:00:00 AM,2.410,0.0,,,,,
355,07/11/18 02:00:00 AM,1.764,0.0,,,,,
